pred_label,n_cells,mean_entropy,median_entropy,frac_above_tau_H,mean_top_prob
enteric neuron,34,2.5927682,2.5879788,1.0,0.20158511
innate lymphoid cell,1477,2.1391828,2.1756158,0.989844278943805,0.34033686
mesothelial cell,124,2.1118243,2.0620704,1.0,0.30983
ciliated epithelial cell,76,1.9978215,1.947892,0.9868421052631579,0.3161013
myeloid cell,567,1.923823,1.9784355,0.9576719576719577,0.365864
megakaryocyte,3308,1.9179969,1.917772,0.9957678355501813,0.36440995
smooth muscle cell,2450,1.841262,1.8907061,0.9563265306122449,0.39835095
blood vessel endothelial cell,82,1.7768111,1.7597665,1.0,0.3534189
hepatic stellate cell,21,1.7611082,1.7918706,0.9047619047619048,0.3763434
hepatoblast,1165,1.682343,1.7173918,0.944206008583691,0.43396062
endothelial cell of vascular tree,7042,1.5895569,1.6190681,0.8880999715989776,0.4796444
erythrocyte,670,1.5096998,1.4759548,0.8597014925373134,0.48558974
Schwann cell,7188,1.4911202,1.5235022,0.7644685587089594,0.4871442
stromal cell,4430,1.470545,1.5054135,0.837923250564334,0.489173
intestinal epithelial cell,4358,1.4321885,1.3673022,0.9699403396053236,0.39188513
erythroblast,10664,1.4188645,1.4878783,0.8035446361590397,0.5386079
neuroplacodal cell,69,1.3843855,1.3507934,0.9855072463768116,0.4497724
neuron,69334,1.382839,1.3597809,0.9187988577032913,0.45604613
macrophage,452,1.3389608,1.4016778,0.7765486725663717,0.529454
epithelial cell of lower respiratory tract,5105,1.2719249,1.0656769,0.6015670910871694,0.53323334
cardiac muscle cell,12403,1.1821804,1.1906728,0.639522696121906,0.62427574
cortical cell of adrenal gland,222604,1.1665518,1.205168,0.704219151497727,0.57202405
neuroblast (sensu Vertebrata),281167,1.14385,1.170005,0.6874099734321595,0.5796971
neuroblast (sensu Nematoda and Protostomia),68530,1.0114841,0.9343612,0.4784911717495987,0.6006169
cell,8544,0.98691034,0.9600409,0.5003511235955056,0.65290266
cell of skeletal muscle,57901,0.8621348,0.81358224,0.4301825529783596,0.733075
oligodendrocyte,1967,0.8498082,0.8234,0.4224707676664972,0.7166339
neural crest cell,5356,0.7840955,0.7367978,0.3198282300224048,0.70904857
glioblast,77399,0.68424755,0.6757036,0.094859106706805,0.66220945
chromaffin cell,54062,0.6315799,0.47255337,0.2919795790018867,0.7883357
radial glial cell,736916,0.55211896,0.42592874,0.1502640735171987,0.8120881
fibroblast,29522,0.4658813,0.29091802,0.17309125398008265,0.83366656
sympathetic neuron,5546,0.28371474,0.016132347,0.1134150739271547,0.9032061
