2026-06-17 13:54:04,793 | INFO | Empirical N_min from rarefaction on 'cortical cell of adrenal gland': 2000
2026-06-17 14:01:41,221 | INFO | N_min=2000; wrote Aim 3 geometry -> results/pilot/aim3_geometry_fix2.json
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs cell of skeletal muscle -> real_difference (N*=2534, cross=0.3147, floor_q=0.02308)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs cortical cell of adrenal gland -> real_difference (N*=2534, cross=0.8358, floor_q=0.02298)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs endothelial cell of vascular tree -> inconclusive_underpowered (N*=473, cross=0.6675, floor_q=0.04399)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs epithelial cell of lower respiratory tract -> inconclusive_underpowered (N*=1967, cross=0.7435, floor_q=0.02838)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs erythroblast -> inconclusive_underpowered (N*=1856, cross=0.3071, floor_q=0.0264)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs erythrocyte -> inconclusive_underpowered (N*=2, cross=0.9093, floor_q=0.5788)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs fibroblast -> real_difference (N*=2534, cross=0.9924, floor_q=0.02619)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs hepatic stellate cell -> inconclusive_underpowered (N*=1, cross=0.8306, floor_q=0.6965)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs hepatoblast -> inconclusive_underpowered (N*=8, cross=0.7479, floor_q=0.3105)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs innate lymphoid cell -> inconclusive_underpowered (N*=12, cross=0.7838, floor_q=0.2419)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs intestinal epithelial cell -> inconclusive_underpowered (N*=114, cross=0.8881, floor_q=0.09438)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs macrophage -> inconclusive_underpowered (N*=17, cross=1.143, floor_q=0.2147)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.6778, floor_q=0.3817)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.8733, floor_q=0.3598)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs smooth muscle cell -> inconclusive_underpowered (N*=25, cross=0.738, floor_q=0.1932)
2026-06-17 14:01:41,221 | INFO |   cardiac muscle cell vs stromal cell -> inconclusive_underpowered (N*=459, cross=0.7436, floor_q=0.04297)
2026-06-17 14:01:41,221 | INFO |   cell of skeletal muscle vs cortical cell of adrenal gland -> real_difference (N*=30629, cross=0.7794, floor_q=0.007384)
2026-06-17 14:01:41,221 | INFO |   cell of skeletal muscle vs endothelial cell of vascular tree -> inconclusive_underpowered (N*=473, cross=0.6288, floor_q=0.05164)
2026-06-17 14:01:41,221 | INFO |   cell of skeletal muscle vs epithelial cell of lower respiratory tract -> inconclusive_underpowered (N*=1967, cross=0.56, floor_q=0.0246)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs erythroblast -> inconclusive_underpowered (N*=1856, cross=0.3047, floor_q=0.02787)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs erythrocyte -> inconclusive_underpowered (N*=2, cross=0.7679, floor_q=0.64)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs fibroblast -> real_difference (N*=6349, cross=0.9611, floor_q=0.0148)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs hepatic stellate cell -> inconclusive_underpowered (N*=1, cross=0.8579, floor_q=0.9343)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs hepatoblast -> inconclusive_underpowered (N*=8, cross=0.6806, floor_q=0.3474)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs innate lymphoid cell -> inconclusive_underpowered (N*=12, cross=0.6389, floor_q=0.3011)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs intestinal epithelial cell -> inconclusive_underpowered (N*=114, cross=0.7822, floor_q=0.1006)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs macrophage -> inconclusive_underpowered (N*=17, cross=1.075, floor_q=0.26)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.6124, floor_q=0.4088)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.8232, floor_q=0.3895)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs smooth muscle cell -> inconclusive_underpowered (N*=25, cross=0.6895, floor_q=0.2165)
2026-06-17 14:01:41,222 | INFO |   cell of skeletal muscle vs stromal cell -> inconclusive_underpowered (N*=459, cross=0.702, floor_q=0.05248)
2026-06-17 14:01:41,222 | INFO |   cortical cell of adrenal gland vs endothelial cell of vascular tree -> inconclusive_underpowered (N*=473, cross=0.4295, floor_q=0.05099)
