n_env,seed,cca,mcc,gap,phi_deg,satisfies
2,8,0.9873957271924394,0.9203366624035948,0.0670590647888447,21.102005217747266,False
2,9,0.9929132682783952,0.9772193949802436,0.0156938732981516,10.164179422514389,False
2,10,0.9931945991379348,0.9878083684169964,0.0053862307209384,5.949428280294385,False
2,11,0.9966374501629108,0.774612303116331,0.2220251470465797,38.924472995130095,False
3,8,0.9874493113730484,0.9674826962996692,0.019966615073379,11.468724721389004,False
3,9,0.993541704214501,0.8936800820447155,0.0998616221697855,25.82373765004004,False
3,10,0.9940278199781096,0.9573305908937836,0.0366972290843262,15.570100311920738,False
3,11,0.99406244499786,0.8059702397487318,0.1880922052491282,35.71725088303096,False
5,8,0.9876698883941062,0.9861932032016598,0.0014766851924463,3.114117877525682,True
5,9,0.9935960754699982,0.9499208427303256,0.0436752327396724,16.996077967770074,True
5,10,0.9937765923332702,0.9924171220524668,0.0013594702808035,2.9879388309703625,True
5,11,0.997117140313561,0.6985109770010292,0.2986061633125318,45.461061042332894,True
9,8,0.9925380602650746,0.9923284885070328,0.0002095717580418,1.173036682925452,True
9,9,0.9930204416254044,0.9929934902424252,2.695138297914568e-05,0.4206579812965791,True
9,10,0.9933868581830076,0.9865310623593964,0.0068557958236111,6.712974535755503,True
9,11,0.9921041613878372,0.8463147762135168,0.1457893851743205,31.3273639724687,True
2,0,0.9941999063708048,0.8749414550710879,0.119258451299717,28.268054232758622,False
2,1,0.9905314082022658,0.9843888230060815,0.0061425851961842,6.353832810325434,False
2,2,0.9890635420977696,0.8302760707741217,0.1587874713236479,32.73161799001806,False
2,3,0.9963984372263208,0.7719400681565818,0.224458369069739,39.14583546274228,False
3,0,0.991285755425835,0.8750242971889481,0.1162614582368868,27.9033166552898,False
3,1,0.9897876360302374,0.9449868191266368,0.0448008169036006,17.215334934851743,False
3,2,0.9937036971557436,0.8820706101742055,0.111633086981538,27.331254111944837,False
3,3,0.9923355207569284,0.955891913800582,0.0364436069563463,15.515870538224824,False
5,0,0.9945472118572514,0.9527420721337618,0.0418051397234895,16.62559434248637,True
5,1,0.9929932479610398,0.8810838912687387,0.1119093566923011,27.365710018419986,True
5,2,0.9933013358876778,0.9794648260606524,0.0138365098270253,9.542297299677,True
5,3,0.993900019862507,0.9902587245937972,0.0036412952687097,4.890997598611439,True
9,0,0.9877357173288844,0.986867733558064,0.0008679837708206,2.3873981397168573,True
9,1,0.9919930249534036,0.7097191492326563,0.2822738757207473,44.13293725079373,True
9,2,0.9936052972080136,0.9898994748617996,0.003705822346214,4.934170330708018,True
9,3,0.993471518280866,0.7569103593740081,0.2365611589068579,40.23169633522466,True
2,4,0.9949673346604402,0.7986614504737846,0.1963058841866556,36.51567335258019,False
2,5,0.9951564055604838,0.8414197243257142,0.1537366812347695,32.19245627834597,False
2,6,0.9937167240019829,0.8625574021758466,0.1311593218261361,29.675802950658408,False
2,7,0.9886195309645248,0.972964724369844,0.0156548065946806,10.151487471787789,False
3,4,0.9943953910444802,0.7001100500727526,0.2942853409717275,45.11269077755215,False
3,5,0.99142894769054,0.9805740338054096,0.0108549138851303,8.449761639343116,False
3,6,0.9936108853455916,0.84542481782038,0.1481860675252116,31.590485793586748,False
3,7,0.989951525808822,0.9486796495267936,0.0412718762820284,16.518471106189082,False
5,4,0.9961611940801852,0.8535154659479718,0.1426457281322133,30.979193971184863,True
5,5,0.994094025284635,0.91918752329716,0.0749065019874749,22.317542085574186,True
5,6,0.9958104871847924,0.7368861334796455,0.2589243537051467,42.1768750887439,True
5,7,0.9688446180524528,0.8923486046695677,0.0764960133828851,22.556160699590976,True
9,4,0.9939283671835492,0.7746382853032392,0.21929008188031,38.67437913247469,True
9,5,0.9925752957149048,0.9660701274190596,0.0265051682958451,13.221077864349953,True
9,6,0.9945452479378514,0.8425292326462568,0.1520160152915946,32.00693116878964,True
9,7,0.9930885519862074,0.9921363386308458,0.0009522133553615,2.5005712419082413,True
