rho,seed,n_overlap,learned,oracle,gap,bio_overlap,batch_removed,cert_max,cert_spread
1.0,0,6000,0.9992096126079559,0.9999977052211761,0.0007880926132202148,0.9992186427116394,1.0,0.7338333333333333,0.036666666666666625
1.0,1,6000,0.999213457107544,0.9999980330467224,0.0007845759391784668,0.9992316365242004,1.0,0.7343333333333333,0.04366666666666663
1.0,2,6000,0.9992570579051971,0.9999979734420776,0.0007409155368804932,0.9992715120315552,0.9913333333333334,0.7378333333333333,0.04916666666666669
0.8,0,4784,0.9985514581203461,0.9999962747097015,0.0014448165893554688,0.9985260963439941,0.7986666666666666,0.7641666666666667,0.040999999999999925
0.8,1,4769,0.998419463634491,0.9999969601631165,0.0015774965286254883,0.9984516501426697,0.7636666666666667,0.7701666666666667,0.03049999999999997
0.8,2,4770,0.9984320402145386,0.9999968111515045,0.0015647709369659424,0.9984761476516724,0.7570000000000001,0.7816666666666667,0.02750000000000008
0.6,0,3576,0.9964224994182587,0.9999937415122986,0.003571242094039917,0.9965361952781677,0.6059999999999999,0.8206666666666667,0.018833333333333258
0.6,1,3531,0.9961057901382446,0.9999943375587463,0.003888547420501709,0.9961337447166443,0.558,0.8266666666666667,0.02283333333333326
0.6,2,3636,0.9959829747676849,0.999994158744812,0.004011183977127075,0.9961627125740051,0.5920000000000001,0.8235,0.01100000000000001
0.5,0,2973,0.9936026930809021,0.9999886453151703,0.0063859522342681885,0.9937238693237305,0.4913333333333334,0.8513333333333333,0.013833333333333253
0.5,1,2926,0.9934974610805511,0.9999911487102509,0.006493687629699707,0.9936344623565674,0.42433333333333323,0.8536666666666667,0.006833333333333358
0.5,2,3042,0.993328869342804,0.9999914467334747,0.006662577390670776,0.9936319589614868,0.43966666666666665,0.8458333333333333,0.015833333333333255
0.4,0,2389,0.9885160624980927,0.9999829828739166,0.011466920375823975,0.9887682199478149,0.3966666666666665,0.8688333333333333,0.015666666666666718
0.4,1,2303,0.9877668917179108,0.9999851584434509,0.012218266725540161,0.9879728555679321,0.32633333333333336,0.8756666666666667,0.010833333333333361
0.4,2,2463,0.9873849451541901,0.9999867975711823,0.012601852416992188,0.9877396821975708,0.3823333333333334,0.8686666666666667,0.008000000000000007
0.3,0,1833,0.9760819375514984,0.9999701678752899,0.023888230323791504,0.9773692488670349,0.30433333333333334,0.8965,0.01100000000000001
