rho,adv_lambda,seed,overlap,bio_recovery,bio_recovery_shared,batch_removed,source_leakage,ilisi,off_manifold_latent
0.05,0.0,0,0.05,0.9991021156311035,0.433910608291626,0.053999999999999826,0.9730000000000001,0.0491962069749019,27.55838498735348
0.05,0.3,0,0.05,0.9991014003753662,0.44177883863449097,0.05266666666666664,0.9736666666666667,0.05138954229947457,28.342987678099032
0.05,1.0,0,0.05,0.9990936517715454,0.43633872270584106,0.053999999999999826,0.9730000000000001,0.05490820607544511,28.451436336493416
0.05,3.0,0,0.05,0.9990271329879761,0.31198346614837646,0.06899999999999995,0.9655,0.06986407446243414,28.336527046068937
0.05,10.0,0,0.05,0.9989041090011597,0.18253666162490845,0.058666666666666645,0.9706666666666667,0.06252645595536777,30.241714214590267
0.05,30.0,0,0.05,0.9986782670021057,0.23119747638702393,0.05366666666666653,0.9731666666666667,0.061528426610803155,20.872091269257385
0.05,100.0,0,0.05,0.9981369972229004,0.3866869807243347,0.043333333333333446,0.9783333333333333,0.044568108147094776,44.16558106818525
0.05,0.0,1,0.05,0.9991450905799866,0.47430914640426636,0.045333333333333226,0.9773333333333334,0.04805350993952051,33.48736190568726
0.05,0.3,1,0.05,0.9991482496261597,0.4783529043197632,0.04800000000000004,0.976,0.04973873177850363,35.768938640458906
0.05,1.0,1,0.05,0.9991469979286194,0.45766788721084595,0.051000000000000156,0.9744999999999999,0.052993232606240115,34.40388011797381
0.05,3.0,1,0.05,0.9990918636322021,0.3870377540588379,0.05233333333333334,0.9738333333333333,0.057607572194509515,31.768279531748888
0.05,10.0,1,0.05,0.9977742433547974,0.10511243343353271,0.04933333333333323,0.9753333333333334,0.05151650612930836,60.300640353066555
0.05,30.0,1,0.05,0.9968909621238708,0.21905767917633057,0.05033333333333312,0.9748333333333334,0.056677046498111894,37.70332966834558
0.05,100.0,1,0.05,0.9940205812454224,0.3534148931503296,0.050000000000000044,0.975,0.04869065362805447,45.080083511379506
0.05,0.0,2,0.05,0.9990379214286804,0.3713805675506592,0.05566666666666675,0.9721666666666666,0.05324730916095244,27.80141128252758
0.05,0.3,2,0.05,0.9990057349205017,0.3609731197357178,0.057333333333333236,0.9713333333333334,0.05623429479117514,27.885535426158377
0.05,1.0,2,0.05,0.9990203976631165,0.3495468497276306,0.05666666666666664,0.9716666666666667,0.05908480144720185,27.31571196241196
0.05,3.0,2,0.05,0.9989749789237976,0.29640185832977295,0.07333333333333325,0.9633333333333334,0.07118481594873138,25.927596400749067
0.05,10.0,2,0.05,0.9989001750946045,0.2868660092353821,0.06099999999999994,0.9695,0.0627613282082724,32.577015010348326
0.05,30.0,2,0.05,0.994552493095398,0.08496534824371338,0.08333333333333348,0.9583333333333333,0.08313125990202863,57.751965659459685
0.05,100.0,2,0.05,0.9956179261207581,-0.007430076599121094,0.08966666666666656,0.9551666666666667,0.09740713251039179,12.299504633658684
0.15,0.0,0,0.15,0.9990954995155334,0.8961692452430725,0.14966666666666661,0.9251666666666667,0.14338365597305747,24.31391269218397
0.15,0.3,0,0.15,0.9990919828414917,0.8948386907577515,0.1499999999999999,0.925,0.1443569224411143,23.94795959072129
0.15,1.0,0,0.15,0.9990904331207275,0.8946621417999268,0.15233333333333343,0.9238333333333333,0.14806254304363597,22.90094291674874
0.15,3.0,0,0.15,0.9990620613098145,0.8806983828544617,0.14866666666666672,0.9256666666666666,0.1489180771046823,21.924244029142397
