arm,theta,rho,seed,cca_s,mcc_s,gap_s,cca_ab,mcc_ab,gap_ab
faithful,0.0,1.0,2,0.9921312980262458,0.991653656505062,0.0004776415211837,0.9921312980262458,0.991653656505062,0.0004776415211837
faithful,0.0,1.0,3,0.9932583103206718,0.9902859571031204,0.0029723532175514,0.9932583103206718,0.9902859571031204,0.0029723532175514
faithful,0.0,0.6,2,0.9915438170791118,0.9862114113679734,0.0053324057111383,0.9915438170791118,0.9862114113679734,0.0053324057111383
faithful,0.0,0.6,3,0.9925890883910028,0.9894821855011504,0.0031069028898523,0.9925890883910028,0.9894821855011504,0.0031069028898523
faithful,0.0,0.2,2,0.9918621032454022,0.9855939501999932,0.0062681530454089,0.9918621032454022,0.9855939501999932,0.0062681530454089
faithful,0.0,0.2,3,0.9932809327409368,0.9734931243698262,0.0197878083711107,0.9932809327409368,0.9734931243698262,0.0197878083711107
faithful,0.0,0.05,2,0.9907553484817866,0.9899019526970648,0.0008533957847218,0.9907553484817866,0.9899019526970648,0.0008533957847218
faithful,0.0,0.05,3,0.9926447810705834,0.9773516589105772,0.0152931221600062,0.9926447810705834,0.9773516589105772,0.0152931221600062
faithful,0.7853981633974483,1.0,2,0.9925548115888624,0.9837453143517924,0.00880949723707,0.992552460366041,0.7862330551258079,0.206319405240233
faithful,0.7853981633974483,1.0,3,0.9921371394413478,0.9072240374050364,0.0849131020363114,0.9921371393677488,0.9254001468621114,0.0667369925056375
faithful,0.7853981633974483,0.6,2,0.9899679677204848,0.864453053223413,0.1255149144970716,0.9899680376232616,0.9526595985482216,0.0373084390750401
faithful,0.7853981633974483,0.6,3,0.9916981535386616,0.9257860685584192,0.0659120849802424,0.9916975412968048,0.9062280811877584,0.0854694601090464
faithful,0.7853981633974483,0.2,2,0.9908885270006128,0.9575569302843328,0.0333315967162799,0.9908885378499828,0.8568225915313611,0.1340659463186216
faithful,0.7853981633974483,0.2,3,0.9901310230799676,0.9443482987406296,0.045782724339338,0.9901315489128596,0.87799865285308,0.1121328960597797
faithful,0.7853981633974483,0.05,2,0.9895392388716404,0.9664372433808108,0.0231019954908294,0.989539238924198,0.8337974307269164,0.1557418081972815
faithful,0.7853981633974483,0.05,3,0.9899198687541738,0.9436018347531152,0.0463180340010586,0.9899205739083508,0.8789573547955694,0.1109632191127814
mix_1000,0.0,1.0,2,0.990463085055056,0.9478596728202802,0.0426034122347758,0.990463085055056,0.9478596728202802,0.0426034122347758
mix_1000,0.0,1.0,3,0.9920215213815196,0.8818278845906106,0.1101936367909089,0.9920215213815196,0.8818278845906106,0.1101936367909089
mix_1000,0.0,0.6,2,0.8765143073272996,0.8588736627928635,0.0176406445344361,0.8765143073272996,0.8588736627928635,0.0176406445344361
mix_1000,0.0,0.6,3,0.4960209555601768,0.4365104783103065,0.0595104772498703,0.4960209555601768,0.4365104783103065,0.0595104772498703
mix_1000,0.0,0.2,2,0.4959189074776214,0.4683250353041014,0.02759387217352,0.4959189074776214,0.4683250353041014,0.02759387217352
mix_1000,0.0,0.2,3,0.9058611486098028,0.8502684711499998,0.0555926774598029,0.9058611486098028,0.8502684711499998,0.0555926774598029
mix_1000,0.0,0.05,2,0.7067801882751351,0.6428124841497271,0.0639677041254079,0.7067801882751351,0.6428124841497271,0.0639677041254079
mix_1000,0.0,0.05,3,0.9503626551177023,0.8116879862470041,0.1386746688706983,0.9503626551177023,0.8116879862470041,0.1386746688706983
mix_1000,0.7853981633974483,1.0,2,0.990362885647278,0.9894562359064488,0.0009066497408292,0.9903638394147296,0.7119768548970224,0.2783869845177071
mix_1000,0.7853981633974483,1.0,3,0.988747866464354,0.9321163927022031,0.0566314737621509,0.9887486861482072,0.8909895695637613,0.0977591165844458
mix_1000,0.7853981633974483,0.6,2,0.5332400885222852,0.5744885037001828,-0.0412484151778975,0.5332400880414473,0.4475171814696046,0.0857229065718426
mix_1000,0.7853981633974483,0.6,3,0.493332866074303,0.4049377988425841,0.0883950672317189,0.4933328669052338,0.4852429468244522,0.0080899200807816
mix_1000,0.7853981633974483,0.2,2,0.4188267841041335,0.4606297971760803,-0.0418030130719468,0.4188267831957921,0.320497729132694,0.0983290540630981
mix_1000,0.7853981633974483,0.2,3,0.4595508965848996,0.4128689225795146,0.046681974005385,0.4595508964368676,0.4561166317852159,0.0034342646516517
mix_1000,0.7853981633974483,0.05,2,0.4089339314704219,0.4010211284803454,0.0079128029900765,0.4089339315710105,0.3740269600197509,0.0349069715512596
mix_1000,0.7853981633974483,0.05,3,0.9297551540756572,0.7961948503147569,0.1335603037609003,0.929755153832377,0.8562258457383929,0.073529308093984
faithful,0.0,1.0,0,0.9934414801814264,0.8742778339882267,0.1191636461931997,0.9934414801814264,0.8742778339882267,0.1191636461931997
faithful,0.0,1.0,1,0.9932339148204884,0.9348004241580784,0.0584334906624098,0.9932339148204884,0.9348004241580784,0.0584334906624098
faithful,0.0,0.6,0,0.9924863972966976,0.9161762424505104,0.0763101548461872,0.9924863972966976,0.9161762424505104,0.0763101548461872
faithful,0.0,0.6,1,0.990999860750259,0.9054114127406798,0.0855884480095792,0.990999860750259,0.9054114127406798,0.0855884480095792
faithful,0.0,0.2,0,0.9936393717164655,0.8218599526132098,0.1717794191032557,0.9936393717164655,0.8218599526132098,0.1717794191032557
faithful,0.0,0.2,1,0.9917016024202552,0.7235415529022963,0.2681600495179589,0.9917016024202552,0.7235415529022963,0.2681600495179589
faithful,0.0,0.05,0,0.9932297306506592,0.706485274489564,0.2867444561610951,0.9932297306506592,0.706485274489564,0.2867444561610951
faithful,0.0,0.05,1,0.9891057672802008,0.8336715178698928,0.1554342494103081,0.9891057672802008,0.8336715178698928,0.1554342494103081
faithful,0.7853981633974483,1.0,0,0.9915817473913888,0.7554562360391519,0.2361255113522369,0.9915818217718212,0.9881415441897998,0.0034402775820212
faithful,0.7853981633974483,1.0,1,0.9911973250291566,0.7978258742064046,0.1933714508227519,0.9911973248333248,0.97975097559132,0.011446349242005
faithful,0.7853981633974483,0.6,0,0.991694655950015,0.7576802348801632,0.2340144210698518,0.9916946560058404,0.98817131457078,0.0035233414350603
faithful,0.7853981633974483,0.6,1,0.9913212083528664,0.941910860317592,0.0494103480352746,0.9913193817929612,0.8844348394709118,0.1068845423220494
faithful,0.7853981633974483,0.2,0,0.9915127232913764,0.7610659482655886,0.2304467750257877,0.9915127230885756,0.9873272673134574,0.0041854557751181
faithful,0.7853981633974483,0.2,1,0.9894495381033228,0.8862212087776755,0.1032283293256473,0.9894505182076476,0.9374276899459268,0.0520228282617207
faithful,0.7853981633974483,0.05,0,0.990863254077606,0.7230258018682258,0.2678374522093802,0.990863254098138,0.9902926251514668,0.0005706289466712
faithful,0.7853981633974483,0.05,1,0.9889360762233416,0.8724052729902156,0.116530803233126,0.988936076308931,0.945902205852358,0.043033870456573
mix_1000,0.0,1.0,0,0.9902671584501548,0.8106129535534794,0.1796542048966755,0.9902671584501548,0.8106129535534794,0.1796542048966755
mix_1000,0.0,1.0,1,0.9887469707693568,0.9665255188191688,0.0222214519501879,0.9887469707693568,0.9665255188191688,0.0222214519501879
mix_1000,0.0,0.6,0,0.6959969254273096,0.627039393892388,0.0689575315349215,0.6959969254273096,0.627039393892388,0.0689575315349215
mix_1000,0.0,0.6,1,0.5459724720935997,0.5192797309136479,0.0266927411799517,0.5459724720935997,0.5192797309136479,0.0266927411799517
mix_1000,0.0,0.2,0,0.85017391979023,0.77192076760891,0.07825315218132,0.85017391979023,0.77192076760891,0.07825315218132
mix_1000,0.0,0.2,1,0.4702929543078453,0.4717236027308421,-0.0014306484229967,0.4702929543078453,0.4717236027308421,-0.0014306484229967
mix_1000,0.0,0.05,0,0.6322931003708324,0.5648787961782471,0.0674143041925853,0.6322931003708324,0.5648787961782471,0.0674143041925853
mix_1000,0.0,0.05,1,0.5905604699209293,0.5616922229945575,0.0288682469263718,0.5905604699209293,0.5616922229945575,0.0288682469263718
mix_1000,0.7853981633974483,1.0,0,0.9905386092742072,0.8850523887074389,0.1054862205667683,0.990538577999177,0.9400605209822912,0.0504780570168857
mix_1000,0.7853981633974483,1.0,1,0.988513841599838,0.9117160794877358,0.0767977621121022,0.988513888262718,0.914474279855228,0.0740396084074902
mix_1000,0.7853981633974483,0.6,0,0.6287393782368768,0.7025586794742975,-0.0738193012374207,0.6287393776593969,0.5198609775296154,0.1088784001297815
mix_1000,0.7853981633974483,0.6,1,0.6440851331270869,0.4424290062869597,0.2016561268401271,0.6440851328329199,0.6414712598730297,0.0026138729598902
mix_1000,0.7853981633974483,0.2,0,0.4463230284559027,0.5119277410565906,-0.0656047126006877,0.4463230279086714,0.453895529464642,-0.0075725015559706
