pred_label,n_cells,mean_entropy,median_entropy,frac_above_tau_H,mean_top_prob
megakaryocyte,1,2.5133526,2.5133526,1.0,0.17909087
neuroplacodal cell,2,2.2946353,2.2946353,1.0,0.26114243
glial cell,68,1.9947629,2.0498781,1.0,0.30064386
Schwann cell,2,1.9258344,1.9258344,1.0,0.32766956
myeloid cell,151,1.8733567,1.9169794,0.9271523178807947,0.37359473
erythroblast,807,1.8631,1.8908461,0.9603469640644362,0.37434664
neural crest cell,47,1.826231,1.9120724,0.9148936170212766,0.32844585
erythrocyte,15,1.6518681,1.7242973,0.7333333333333333,0.39252758
hepatoblast,2559,1.6109126,1.7219287,0.798358733880422,0.4658049
cortical cell of adrenal gland,5851,1.4866822,1.5577668,0.7296188685694753,0.5022701
neuroblast (sensu Nematoda and Protostomia),9185,1.4430152,1.4442244,0.8718562874251496,0.33430165
stromal cell,626,1.4134778,1.5026827,0.6549520766773163,0.5303533
endothelial cell of vascular tree,3944,1.3551989,1.3820484,0.6092799188640974,0.54082334
macrophage,791,1.1931643,1.2645562,0.5107458912768648,0.5977604
radial glial cell,404373,1.1341187,1.1121141,0.28268949707324675,0.5283399
cardiac muscle cell,83396,1.1034318,1.115473,0.2081634610772699,0.509282
glioblast,83244,1.1012086,1.1264668,0.23674979578107733,0.5265846
neuroblast (sensu Vertebrata),294139,1.0601242,1.0363656,0.2327437028071762,0.55122733
neuron,183510,1.0577788,1.0331147,0.14221568306904256,0.51116264
epithelial cell of lower respiratory tract,176433,0.9247832,0.9415816,0.08767634172745462,0.58305633
chromaffin cell,24701,0.903771,0.9452713,0.0009716205821626655,0.549366
innate lymphoid cell,2579,0.8251739,0.8573329,0.3443195036835983,0.70689046
cell of skeletal muscle,675,0.7576019,0.6161422,0.3022222222222222,0.7398818
oligodendrocyte,3500,0.7390383,0.70429546,0.248,0.7491849
cell,5773,0.73798186,0.69380313,0.17547202494370345,0.7379146
intestinal epithelial cell,283750,0.6975364,0.596314,0.21100969162995595,0.77576995
fibroblast,32453,0.51164085,0.23971716,0.15271315440791297,0.8260655
